Idade,Gênero,Renda_Mensal,Nu_de_E-mails_Enviados,Num_de_E-mails_Abertos,Tempo_no_Site_(min),Valor_Gasto
56,0,4868,1,0,16,335.84
69,1,2399,7,2,46,614.14
46,1,2633,6,3,57,512.55
32,1,3506,5,3,26,499.77
60,0,3175,8,4,39,533.28
25,1,4216,2,0,38,496.0
38,1,2638,2,2,48,512.92
56,1,2696,9,0,11,339.16
36,0,2101,1,1,27,281.02
40,0,2459,6,5,3,257.65
28,1,2098,3,1,51,586.3
28,1,2197,5,1,27,425.97
41,1,1751,8,0,24,296.0
53,0,1823,7,5,57,545.53
57,0,3408,4,4,49,574.2
41,0,4744,8,4,35,527.09
20,1,1697,10,8,41,409.71
39,0,4996,2,2,2,380.09
19,1,2521,7,1,57,551.35
41,1,2261,5,1,30,363.36
61,0,1841,6,4,36,531.83
47,1,3016,3,2,11,445.9
55,0,1442,10,0,54,479.51
19,1,2014,7,7,36,377.11
38,1,1851,7,5,36,468.62
50,0,2396,2,1,3,258.9
29,1,2784,1,1,29,427.86
39,1,3330,10,7,56,724.02
61,1,1823,2,2,37,459.35
42,1,1939,8,4,41,578.34
66,1,1721,10,10,37,573.38
44,1,4408,3,0,26,473.88
59,1,4879,4,2,53,816.92
45,1,3223,8,1,21,457.64
33,0,2773,3,2,0,201.91
32,0,4133,6,1,47,519.86
64,1,3450,2,1,42,602.26
68,1,3896,3,3,37,588.26
61,0,2115,1,0,19,329.45
69,1,2074,9,2,17,355.84
20,0,1776,4,3,5,99.54
54,0,2334,6,3,48,500.02
68,0,3572,7,2,11,396.6
24,1,1587,2,2,16,303.71
38,1,2584,8,8,52,566.39
26,1,2613,9,4,21,310.62
56,0,2347,10,0,17,266.08
35,0,1793,2,1,9,267.43
21,0,4706,5,1,23,368.97
42,1,2694,2,1,19,351.6
31,0,2624,5,0,11,232.58
67,0,1717,7,1,3,213.89
26,1,2813,6,6,41,472.99
43,0,2013,4,1,4,173.09
19,0,3802,2,0,25,423.13
37,1,3615,7,7,35,583.76
45,1,2123,10,4,58,638.54
64,0,4538,9,0,15,502.37
24,1,2877,1,0,4,144.36
61,0,4683,3,2,25,518.32
25,1,1814,7,1,18,261.39
64,0,2025,9,5,55,610.09
52,1,4256,5,2,5,374.73
31,0,4082,7,4,23,368.39
34,1,3213,10,9,30,446.95
53,1,4062,7,5,30,543.97
67,1,1588,4,1,52,579.15
57,1,1860,5,1,6,309.81
21,1,2154,2,0,9,184.57
19,1,2976,8,4,38,574.43
23,1,3390,1,0,21,402.98
59,0,3760,2,0,13,409.87
21,0,4166,3,1,27,459.55
46,1,1718,7,1,41,360.89
35,1,2162,6,5,51,487.53
43,0,2280,7,2,21,366.15
61,0,4750,5,4,56,638.96
51,1,1625,4,3,31,404.5
27,0,3029,7,4,10,291.56
53,0,3075,3,3,13,290.88
31,1,3942,10,3,30,471.06
48,1,4745,7,4,43,683.98
65,1,4550,2,1,3,468.97
32,0,3009,8,2,44,510.1
25,1,3592,6,3,21,465.09
31,1,3084,3,1,53,561.49
40,0,1923,3,3,28,362.48
57,1,3670,5,2,34,550.17
38,0,4447,3,2,12,347.0
33,0,2398,6,2,19,249.4
62,0,4176,2,0,18,388.32
35,0,1664,8,6,14,266.9
64,0,1449,9,1,50,427.66
41,0,4526,7,4,25,493.99
43,1,2040,3,2,59,563.09
42,1,4888,10,6,19,548.87
62,1,2398,4,0,35,486.47
58,0,3137,10,6,5,417.63
46,1,3505,2,1,14,396.82
32,0,2889,9,5,3,323.87
62,1,3113,5,1,5,390.48
18,0,1716,2,2,1,203.28
42,1,3150,10,5,35,597.23
24,0,3692,6,3,49,536.43
26,1,1656,7,7,14,329.99
41,0,3156,2,2,11,319.67
18,1,4219,1,1,39,478.44
61,0,4778,7,7,43,620.71
25,1,4298,1,1,40,570.01
41,1,4866,3,3,6,387.12
28,1,3617,4,3,21,502.59
68,0,4888,2,1,7,417.81
34,0,2436,7,0,51,587.9
25,0,1628,5,2,41,321.74
52,0,4387,1,0,10,385.86
52,0,1918,8,2,1,207.31
50,1,2172,10,6,29,423.95
22,0,4363,7,3,3,360.34
59,1,4040,4,4,52,614.72
56,1,2465,2,0,24,371.45
58,0,4086,7,6,20,509.62
45,1,3979,2,2,24,516.2
24,0,3316,6,1,8,194.21
26,0,1686,1,1,7,210.38
25,0,1903,7,7,4,241.59
29,1,2238,7,5,45,449.01
51,0,2362,4,4,27,355.66
50,0,4385,4,0,1,222.58
65,0,4306,10,7,20,601.17
40,1,4519,5,1,58,706.72
41,0,4794,2,1,48,507.24
54,1,4527,9,4,7,499.3
52,1,2590,10,7,33,489.8
61,0,2512,4,0,22,403.34
57,1,3048,9,1,14,371.6
39,1,4921,3,2,26,505.88
44,0,2867,9,5,1,271.93
52,0,1450,1,0,27,278.63
18,0,3698,7,5,10,390.86
52,1,4496,4,1,45,658.73
54,0,3581,7,1,20,402.55
64,1,1555,10,7,41,581.98
31,1,4143,6,5,31,442.8
20,1,3914,4,4,31,419.28
18,1,3827,4,4,6,371.08
22,1,2170,8,2,21,364.28
43,0,1658,7,3,13,277.87
31,0,4382,4,3,12,276.97
56,1,4528,6,4,20,475.28
44,1,2176,6,4,21,412.63
26,0,3834,1,0,33,530.02
32,0,2726,2,2,9,326.2
32,1,1618,4,2,0,293.77
43,1,3430,6,3,0,354.49
59,0,3978,6,2,23,468.52
30,0,3701,1,0,2,203.38
68,1,4597,8,1,30,623.44
49,0,4278,2,1,42,528.24
56,0,3761,5,3,50,614.69
66,1,4759,4,4,40,661.48
69,1,4579,5,0,12,490.91
49,1,2729,5,1,53,555.06
21,0,2112,10,0,3,173.83
47,1,4843,8,2,51,711.15
54,0,1699,10,10,22,339.64
40,1,3613,7,4,5,301.0
56,1,3005,9,2,33,518.54
62,0,3882,1,0,40,590.13
32,0,2261,6,0,17,346.69
60,1,1461,6,1,55,466.83
46,1,2642,2,2,35,448.96
53,0,4023,8,2,25,378.19
30,1,4313,6,3,32,488.12
49,0,4342,10,2,32,551.24
24,0,4121,9,3,24,403.41
68,1,4024,10,7,51,693.51
39,0,3672,5,0,16,368.85
45,0,4549,7,6,50,587.7
19,0,4715,6,0,2,363.4
59,1,3320,5,5,54,654.36
62,0,4270,6,0,21,422.41
23,1,4309,4,3,55,645.79
45,1,3098,3,1,54,621.86
45,1,3152,1,1,48,627.4
61,0,2755,1,1,34,429.25
61,0,3202,6,3,56,646.4
37,1,4620,9,2,3,395.06
47,1,4340,8,7,58,690.43
28,0,3372,2,0,27,320.76
45,1,2500,9,5,58,550.15
42,1,4997,8,1,12,416.77
56,0,2567,9,6,29,501.14
50,1,3793,4,4,46,644.99
18,0,1443,9,2,11,121.09
44,0,2279,2,2,2,144.63
69,1,4357,1,1,20,460.24
30,0,4981,9,4,39,505.21
58,0,2678,10,9,0,324.74
20,0,2627,8,1,17,324.99
56,1,2577,7,0,12,323.46
23,1,3095,8,4,6,404.77
25,1,2012,1,0,12,176.59
44,0,3437,9,8,16,402.42
26,0,2996,10,6,44,521.08
54,1,2399,9,8,31,555.31
50,1,2626,9,3,28,434.51
68,0,3377,6,2,44,594.94
